"la_name","SEN_Unit","RP_Unit","Total pupils","EHC plan"
"Westminster","0","0","138","5"
"Westminster","0","0","186","1"
"Westminster","0","0","278","7"
"Westminster","0","0","173","3"
"Westminster","0","0","180","6"
"Westminster","0","0","168","8"
"Westminster","0","0","236","7"
"Westminster","0","0","180","4"
"Westminster","0","0","189","11"
"Westminster","0","0","293","7"
"Westminster","0","0","212","7"
"Westminster","0","0","138","6"
"Westminster","0","0","231","5"
"Westminster","0","0","170","6"
"Westminster","0","0","157","7"
"Westminster","0","0","208","5"
"Westminster","0","1","1024","46"
"Westminster","0","0","279","0"
"Westminster","0","0","576","0"
"Westminster","0","0","509","0"
"Westminster","0","0","29","0"
"Westminster","0","0","164","0"
"Westminster","0","0","656","0"
"Westminster","0","0","756","0"
"Kensington and Chelsea","0","0","137","0"
"Westminster","0","0","69","0"
"Westminster","0","0","299","0"
"Westminster","0","0","261","0"
"Westminster","0","0","1375","0"
"Westminster","0","0","154","1"
"Westminster","0","0","149","2"
"Westminster","0","0","234","0"
"Westminster","0","0","184","70"
"Westminster","0","0","50","0"
"Wandsworth","0","0","45","42"
"Westminster","0","0","152","0"
"Westminster","0","0","225","0"
"Westminster","0","0","316","0"
"Westminster","0","0","92","4"
"Westminster","0","0","105","105"
"Westminster","0","0","74","74"
"Barking and Dagenham","0","0","331","7"
"Barking and Dagenham","0","0","599","7"
"Barking and Dagenham","1","0","1230","28"
"Barking and Dagenham","0","0","825","13"
"Barking and Dagenham","0","0","914","5"
"Barking and Dagenham","0","0","606","4"
"Barking and Dagenham","0","0","499","3"
"Barking and Dagenham","1","0","907","22"
"Barking and Dagenham","0","0","368","4"
"Barking and Dagenham","0","0","821","6"
"Barking and Dagenham","0","0","438","5"
"Barking and Dagenham","0","0","529","11"
"Barking and Dagenham","1","0","415","32"
"Barking and Dagenham","1","0","1043","29"
"Barking and Dagenham","0","0","303","6"
"Barking and Dagenham","0","0","631","7"
"Barking and Dagenham","1","0","1013","20"
"Barking and Dagenham","0","0","490","8"
"Barking and Dagenham","1","0","444","19"
"Barking and Dagenham","0","0","464","6"
"Barking and Dagenham","0","0","1189","18"
"Barking and Dagenham","0","0","453","8"
"Barking and Dagenham","1","0","586","28"
"Barking and Dagenham","0","0","341","4"
"Barking and Dagenham","1","0","395","18"
"Barking and Dagenham","0","0","220","4"
"Barking and Dagenham","1","0","2198","31"
"Barking and Dagenham","1","0","1103","39"
"Barking and Dagenham","1","0","2075","38"
"Barking and Dagenham","0","0","2302","27"
"Barking and Dagenham","0","0","1447","29"
"Barnet","0","0","118","0"
"Barnet","0","0","110","0"
"Barnet","0","0","85","0"
"Barnet","0","0","117","1"
"Barnet","0","0","50","6"
"Barnet","0","0","462","5"
"Barnet","0","0","400","9"
"Barnet","0","0","359","14"
"Barnet","0","0","312","11"
"Barnet","0","0","456","13"
"Barnet","0","0","211","2"
"Barnet","0","1","705","16"
"Barnet","0","1","250","21"
"Barnet","0","0","211","5"
"Barnet","0","0","407","7"
